Date,Measure,Value
2013-08-01,sum_25_weighted,2.045925
2013-09-01,sum_25_weighted,2.067875
2013-10-01,sum_25_weighted,2.065215
2013-11-01,sum_25_weighted,2.030175
2013-12-01,sum_25_weighted,2.081055
2014-01-01,sum_25_weighted,2.018015
2014-02-01,sum_25_weighted,2.011125
2014-03-01,sum_25_weighted,2.028225
2014-04-01,sum_25_weighted,1.996365
2014-05-01,sum_25_weighted,1.906625
2014-06-01,sum_25_weighted,1.938695
2014-07-01,sum_25_weighted,1.963525
2014-08-01,sum_25_weighted,1.914225
2014-09-01,sum_25_weighted,1.967275
2014-10-01,sum_25_weighted,1.96765
2014-11-01,sum_25_weighted,1.93482
2014-12-01,sum_25_weighted,1.936875
2015-01-01,sum_25_weighted,1.862925
2015-02-01,sum_25_weighted,1.91675
2015-03-01,sum_25_weighted,1.855725
2015-04-01,sum_25_weighted,1.927075
2015-05-01,sum_25_weighted,1.927325
2015-06-01,sum_25_weighted,1.860745
2015-07-01,sum_25_weighted,1.856645
2015-08-01,sum_25_weighted,1.867005
2015-09-01,sum_25_weighted,1.901285
2015-10-01,sum_25_weighted,1.790265
2015-11-01,sum_25_weighted,1.83231
2015-12-01,sum_25_weighted,1.851515
2016-01-01,sum_25_weighted,1.774055
2016-02-01,sum_25_weighted,1.748835
2016-03-01,sum_25_weighted,1.722935
2016-04-01,sum_25_weighted,1.758715
2016-05-01,sum_25_weighted,1.752565
2016-06-01,sum_25_weighted,1.720415
2016-07-01,sum_25_weighted,1.729815
2016-08-01,sum_25_weighted,1.749965
2016-09-01,sum_25_weighted,1.736315
2016-10-01,sum_25_weighted,1.715315
2016-11-01,sum_25_weighted,1.70804
2016-12-01,sum_25_weighted,1.749965
2017-01-01,sum_25_weighted,1.755775
2017-02-01,sum_25_weighted,1.751425
2017-03-01,sum_25_weighted,1.747675
2017-04-01,sum_25_weighted,1.723325
2017-05-01,sum_25_weighted,1.71789
2017-06-01,sum_25_weighted,1.744265
2017-07-01,sum_25_weighted,1.730665
2017-08-01,sum_25_weighted,1.767865
2017-09-01,sum_25_weighted,1.735775
2017-10-01,sum_25_weighted,1.767275
2017-11-01,sum_25_weighted,1.778875
2017-12-01,sum_25_weighted,1.782075
2018-01-01,sum_25_weighted,1.79055
2018-02-01,sum_25_weighted,1.76589
2018-03-01,sum_25_weighted,1.77004
2018-04-01,sum_25_weighted,1.76409
2018-05-01,sum_25_weighted,1.73109
2018-06-01,sum_25_weighted,1.74244
2018-07-01,sum_25_weighted,1.74079
2018-08-01,sum_25_weighted,1.75495
2018-09-01,sum_25_weighted,1.734945
2018-10-01,sum_25_weighted,1.75935
2018-11-01,sum_25_weighted,1.73177
2018-12-01,sum_25_weighted,1.73854
2019-01-01,sum_25_weighted,1.7585
2019-02-01,sum_25_weighted,1.74795
2019-03-01,sum_25_weighted,1.73145
2019-04-01,sum_25_weighted,1.725
2019-05-01,sum_25_weighted,1.74865
2019-06-01,sum_25_weighted,1.7475
2019-07-01,sum_25_weighted,1.7374
2019-08-01,sum_25_weighted,1.7124
2019-09-01,sum_25_weighted,1.731375
2019-10-01,sum_25_weighted,1.7186
2019-11-01,sum_25_weighted,1.6878
2019-12-01,sum_25_weighted,1.7349125
2020-01-01,sum_25_weighted,1.7362875
2020-02-01,sum_25_weighted,1.759175
2020-03-01,sum_25_weighted,1.783
2020-04-01,sum_25_weighted,1.69
2020-05-01,sum_25_weighted,1.7192
2020-06-01,sum_25_weighted,1.77305
2020-07-01,sum_25_weighted,1.73974
2020-08-01,sum_25_weighted,1.7114
2020-09-01,sum_25_weighted,1.71102
2020-10-01,sum_25_weighted,1.6739
2020-11-01,sum_25_weighted,1.67322
2020-12-01,sum_25_weighted,1.73432
2021-01-01,sum_25_weighted,1.74832
2021-02-01,sum_25_weighted,1.74932
2021-03-01,sum_25_weighted,1.756175
2021-04-01,sum_25_weighted,1.772575
2021-05-01,sum_25_weighted,1.78885
2021-06-01,sum_25_weighted,1.775815
2021-07-01,sum_25_weighted,1.699325
2021-08-01,sum_25_weighted,1.789115
2021-09-01,sum_25_weighted,1.781145
2021-10-01,sum_25_weighted,1.811775
2021-11-01,sum_25_weighted,1.813275
2021-12-01,sum_25_weighted,1.77525
2022-01-01,sum_25_weighted,1.79525
2022-02-01,sum_25_weighted,1.8153325
2022-03-01,sum_25_weighted,1.80592
2022-04-01,sum_25_weighted,1.828805
2022-05-01,sum_25_weighted,1.790075
2022-06-01,sum_25_weighted,1.893545
2022-07-01,sum_25_weighted,1.92372
2022-08-01,sum_25_weighted,1.93327
2022-09-01,sum_25_weighted,2.000285
2022-10-01,sum_25_weighted,2.0011
2022-11-01,sum_25_weighted,2.022225
