YEAR,STATE,Renewables 
2004,ID,83.05166722
2004,IL,0.508199256
2004,IN,0.454793144
2004,KS,0.793411508
2004,KY,4.433800222
2004,LA,4.140898836
2004,MA,4.690861775
2004,MD,5.949210772
2004,ME,36.79945715
2004,MI,3.458627271
2004,MN,4.841789877
2004,MO,1.699758687
2004,MS,3.468518937
2004,MT,33.29185202
2004,NC,5.674031061
2004,ND,5.899197443
2004,NE,3.095938672
2004,NH,9.210201113
2004,NJ,1.509126085
2004,NM,1.980585459
2004,NV,7.732480325
2004,NY,18.7738743
2004,OH,0.780374086
2004,OK,6.256088469
2004,OR,66.55327258
2004,PA,2.530061458
2004,RI,2.16598305
2004,SC,4.298643099
2004,SD,50.00106522
2004,TN,11.51503022
2004,TX,1.42129345
2004,US-TOTAL,8.852279056
2004,UT,1.697229642
2004,VA,5.089233162
2004,VT,29.09001369
2004,WA,72.32132961
2004,WI,5.119231418
2004,WV,1.650750117
2004,WY,2.69968017
2005,AK,22.34853593
2005,AL,9.997480873
2005,AR,10.08073752
2005,AZ,6.389579231
2005,CA,31.59679594
2005,CO,4.486105019
2005,CT,3.670769856
2005,DC,0
2005,DE,0
2005,FL,2.085458016
2005,GA,5.344299156
2005,HI,5.503495026
2005,IA,6.167886882
2005,ID,84.08097416
2005,IL,0.469769892
2005,IN,0.388101477
2005,KS,0.953192982
2005,KY,3.457903652
2005,LA,3.992486121
2005,MA,4.841089244
2005,MD,4.418787124
2005,ME,43.29826219
2005,MI,3.252786096
2005,MN,6.463413725
2005,MO,1.285860134
2005,MS,3.376487684
2005,MT,34.5718807
2005,NC,5.552006898
2005,ND,4.923361272
2005,NE,3.212253439
2005,NH,11.20064791
2005,NJ,1.496324095
2005,NM,2.744421177
2005,NV,7.373315974
2005,NY,18.9062938
2005,OH,0.612406369
2005,OK,5.491183972
2005,OR,65.98855554
2005,PA,2.091550951
2005,RI,0.111245216
2005,SC,4.63522658
2005,SD,49.57498111
2005,TN,10.37471182
2005,TX,1.681043055
2005,US-TOTAL,8.819072021
2005,UT,2.550005659
2005,VA,5.044458317
2005,VT,28.56144789
2005,WA,72.7579979
2005,WI,4.726062078
2005,WV,1.711240599
2005,WY,3.348099988
2006,AK,18.44506538
2006,AL,7.903909397
2006,AR,6.274572324
2006,AZ,6.558391803
2006,CA,33.19336277
2006,CO,5.300832948
2006,CT,3.769165419
2006,DC,0
2006,DE,0.005806037
2006,FL,2.026403644
2006,GA,4.338631966
2006,HI,6.382194784
2006,IA,7.39623778
2006,ID,89.13979704
2006,IL,0.531164661
2006,IN,0.543894668
2006,KS,2.200036921
2006,KY,3.087799181
2006,LA,4.04256826
2006,MA,6.121952222
2006,MD,5.577226327
2006,ME,49.03483688
2006,MI,3.520812765
2006,MN,6.81961642
2006,MO,0.243422295
2006,MS,3.333593849
2006,MT,37.74508263
2006,NC,4.52607657
2006,ND,6.133397873
2006,NE,3.81006688
2006,NH,10.31237062
2006,NJ,1.568726226
2006,NM,3.959498868
2006,NV,10.67587775
2006,NY,21.04607956
2006,OH,0.701616425
2006,OK,3.729104971
2006,OR,74.38839332
2006,PA,2.429984572
2006,RI,2.594321957
2006,SC,3.744811777
2006,SD,49.71504757
2006,TN,9.114204623
2006,TX,2.116972908
2006,US-TOTAL,9.490779088
2006,UT,2.307761246
2006,VA,5.213725386
2006,VT,27.78768225
2006,WA,78.10352943
2006,WI,4.776490102
2006,WV,1.861611718
2006,WY,3.529435994
2007,AK,19.0936542
2007,AL,5.518278368
2007,AR,8.902622884
2007,AZ,5.857819992
2007,CA,24.74441858
2007,CO,5.665932298
2007,CT,3.295330598
2007,DC,0
2007,DE,0.563804558
2007,FL,1.977349351
2007,GA,3.893495125
2007,HI,7.332561658
2007,IA,7.773012341
2007,ID,84.24296708
2007,IL,0.71830326
2007,IN,0.521427919
2007,KS,2.320407111
2007,KY,2.195117509
2007,LA,4.111680391
2007,MA,4.328547629
2007,MD,4.493566308
2007,ME,49.26133859
2007,MI,3.090049432
2007,MN,8.418976107
2007,MO,1.353366213
2007,MS,2.984122713
2007,MT,34.46437071
2007,NC,3.578655212
2007,ND,6.212097993
2007,NE,1.927916047
2007,NH,10.26113096
2007,NJ,1.379399755
2007,NM,4.66081834
2007,NV,10.10062952
2007,NY,19.2129766
2007,OH,0.544987934
2007,OK,7.133925516
2007,OR,65.0275336
2007,PA,2.115181173
2007,RI,2.257085405
2007,SC,3.43507971
2007,SD,49.9836799
2007,TN,6.213769502
2007,TX,2.942608064
2007,US-TOTAL,8.486147417
2007,UT,1.617137665
2007,VA,4.867037167
2007,VT,19.06307836
2007,WA,77.16569918
2007,WI,4.48899309
2007,WV,1.51382725
2007,WY,3.252666255
2008,AK,17.36649193
2008,AL,6.50817086
2008,AR,11.21357092
2008,AZ,6.194215879
2008,CA,23.51704224
2008,CO,9.961862289
2008,CT,4.241083034
2008,DC,0
2008,DE,2.171431366
2008,FL,2.052946333
2008,GA,3.617878515
2008,HI,7.569539884
2008,IA,9.550676131
2008,ID,84.4648781
2008,IL,1.590938297
2008,IN,0.732122499
2008,KS,3.795783434
2008,KY,2.428989242
2008,LA,4.082119827
2008,MA,5.67265471
2008,MD,5.461382924
2008,ME,49.81240332
2008,MI,3.439887533
2008,MN,12.01157672
2008,MO,2.518762333
2008,MS,2.886226489
2008,MT,36.11567812
2008,NC,3.957116
2008,ND,9.039905478
2008,NE,1.919991899
2008,NH,12.27525017
2008,NJ,1.462216074
2008,NM,5.333609008
2008,NV,9.374338664
2008,NY,21.40916363
2008,OH,0.658233612
2008,OK,8.334950894
2008,OR,63.40107685
2008,PA,2.407291532
2008,RI,2.211697805
2008,SC,2.910476395
2008,SD,44.33225201
2008,TN,7.292236356
2008,TX,4.614408309
2008,US-TOTAL,9.24730594
2008,UT,2.082378187
2008,VA,5.103918514
2008,VT,28.12582476
2008,WA,74.50721837
2008,WI,5.308917179
2008,WV,1.799277082
2008,WY,3.86623587
2009,AK,19.9530032
2009,AL,10.87931975
2009,AR,10.0565339
2009,AZ,5.920864508
2009,CA,26.09078386
2009,CO,10.14852247
2009,CT,4.064176689
2009,DC,0
2009,DE,2.594430765
2009,FL,2.086940047
2009,GA,4.727994392
2009,HI,7.424563369
2009,IA,16.50550637
2009,ID,86.27060206
2009,IL,1.891080986
2009,IN,1.893632209
2009,KS,6.16159141
2009,KY,4.061742973
2009,LA,3.956659581
2009,MA,6.23695888
2009,MD,5.572946573
2009,ME,49.84708422
2009,MI,3.947636526
2009,MN,14.37507945
2009,MO,2.706714622
2009,MS,2.92450842
2009,MT,39.01324967
2009,NC,5.966401441
2009,ND,13.11349795
2009,NE,2.595499685
2009,NH,14.27499794
2009,NJ,1.604743759
2009,NM,4.666353735
2009,NV,11.32208445
2009,NY,24.09461621
2009,OH,0.85322513
2009,OK,8.634769595
2009,OR,65.80592115
2009,PA,2.749384974
2009,RI,1.940228852
2009,SC,4.074862618
2009,SD,59.28370185
2009,TN,14.00259109
2009,TX,5.572739499
2009,US-TOTAL,10.57440009
2009,UT,3.03560765
2009,VA,5.55940945
2009,VT,26.29467858
2009,WA,74.6408306
2009,WI,6.228054609
2009,WV,3.373047756
2009,WY,6.93641464
2010,AK,21.48140653
2010,AL,7.283077693
2010,AR,8.660473735
2010,AZ,6.211192446
2010,CA,28.84527573
2010,CO,10.11970988
2010,CT,3.389324671
2010,DC,0
2010,DE,2.45568084
2010,FL,2.03591478
2010,GA,4.726275314
2010,HI,7.543265865
2010,IA,17.92536996
2010,ID,84.56235087
2010,IL,2.610704312
2010,IN,2.955229399
2010,KS,7.246019209
2010,KY,3.074925692
2010,LA,3.476281368
2010,MA,5.303311141
2010,MD,5.139191948
2010,ME,46.78784346
2010,MI,3.66020154
2010,MN,13.93704372
2010,MO,2.737365594
2010,MS,2.760773803
2010,MT,35.05003377
2010,NC,5.315333878
2010,ND,17.70358976
2010,NE,4.933138695
2010,NH,12.20855895
2010,NJ,1.321772282
2010,NM,5.715072755
2010,NV,12.64414625
2010,NY,22.11293753
2010,OH,0.786299497
2010,OK,9.645221177
2010,OR,64.03239908
2010,PA,2.86281218
2010,RI,1.857917312
2010,SC,4.080057775
2010,SD,65.77900931
2010,TN,11.08135564
2010,TX,7.035950586
2010,US-TOTAL,10.36048173
2010,UT,3.494678202
2010,VA,5.09800147
2010,VT,27.63185443
2010,WA,72.3913902
2010,WI,7.130334334
2010,WV,2.855010599
2010,WY,8.875199936
2011,AK,19.80021054
2011,AL,7.483893516
2011,AR,7.544733163
2011,AZ,8.974287132
2011,CA,34.75010428
2011,CO,14.48357202
2011,CT,3.636517894
2011,DC,0
2011,DE,2.395027765
2011,FL,2.186707819
2011,GA,4.725137586
2011,HI,9.083565716
2011,IA,20.92375506
2011,ID,92.32404233
2011,IL,3.51166143
2011,IN,3.299542573
2011,KS,8.363074032
2011,KY,3.462641583
2011,LA,3.305075971
2011,MA,6.189323555
2011,MD,8.056001056
2011,ME,53.04769318
2011,MI,3.956812776
2011,MN,17.22938345
2011,MO,2.556535758
2011,MS,2.920396472
2011,MT,46.00637011
2011,NC,5.26977586
2011,ND,22.30762915
2011,NE,7.573151788
2011,NH,13.43587126
2011,NJ,1.514696178
2011,NM,6.381399465
2011,NV,14.49129159
2011,NY,23.92543932
2011,OH,0.973071636
2011,OK,9.953893076
2011,OR,80.08125918
2011,PA,3.21853593
2011,RI,1.579037941
2011,SC,3.577019693
2011,SD,77.31104371
2011,TN,13.06400921
2011,TX,7.519614978
2011,US-TOTAL,12.51996225
2011,UT,5.365711509
2011,VA,5.108723738
2011,VT,27.41099425
2011,WA,86.61269409
2011,WI,7.76105532
2011,WV,3.246910391
2011,WY,12.24975923
2012,AK,23.24941816
2012,AL,6.67966028
2012,AR,5.936161453
2012,AZ,7.587202068
2012,CA,28.47064153
2012,CO,14.63046549
2012,CT,2.709669295
2012,DC,0
2012,DE,1.51790184
2012,FL,2.11415228
2012,GA,4.509035196
2012,HI,9.928066611
2012,IA,26.37760901
2012,ID,86.81095386
2012,IL,4.294207706
