State,SourceX,SourceY,Correlation
CA,Coal,Natural Gas,-0.3078202733315939
CA,Coal,Nuclear,0.8984956782036724
CA,Coal,Other,-0.7657956623247132
CA,Coal,Other Biomass,-0.4706548607785425
CA,Coal,Other Gases,0.6733316515536278
CA,Coal,Petroleum,0.8406406724088832
CA,Coal,Pumped Storage,0.3132576992806055
CA,Coal,Solar,-0.8600726296116915
CA,Coal,Wind,-0.9568028526703066
CA,Coal,Wood Fuels,0.4435283056160043
CA,Geothermal,Coal,0.7753497892174304
CA,Geothermal,Geothermal,1.0
CA,Geothermal,Hydro,-0.03393515211428897
CA,Geothermal,Natural Gas,-0.22100340521012646
CA,Geothermal,Nuclear,0.635480583513146
CA,Geothermal,Other,-0.574261406571692
CA,Geothermal,Other Biomass,-0.28619519245003844
CA,Geothermal,Other Gases,0.4753148051164919
CA,Geothermal,Petroleum,0.6821235335127206
CA,Geothermal,Pumped Storage,-0.01145255486728523
CA,Geothermal,Solar,-0.6714780612741265
CA,Geothermal,Wind,-0.7075529219161448
CA,Geothermal,Wood Fuels,0.7567193551205293
CA,Hydro,Coal,0.31028666133887534
CA,Hydro,Geothermal,-0.03393515211428897
CA,Hydro,Hydro,1.0
CA,Hydro,Natural Gas,-0.5028080706629973
CA,Hydro,Nuclear,0.416326297511132
CA,Hydro,Other,-0.2907922925088482
CA,Hydro,Other Biomass,-0.2084053510061573
CA,Hydro,Other Gases,0.48971198894825324
CA,Hydro,Petroleum,0.2812932050307853
CA,Hydro,Pumped Storage,0.3767328418001286
CA,Hydro,Solar,-0.31268856257861316
CA,Hydro,Wind,-0.418593457956957
CA,Hydro,Wood Fuels,-0.3870618312658662
CA,Natural Gas,Coal,-0.3078202733315939
CA,Natural Gas,Geothermal,-0.22100340521012646
CA,Natural Gas,Hydro,-0.5028080706629973
CA,Natural Gas,Natural Gas,1.0
CA,Natural Gas,Nuclear,-0.26958535555531915
CA,Natural Gas,Other,0.607202041826757
CA,Natural Gas,Other Biomass,0.1061339238823317
CA,Natural Gas,Other Gases,-0.6017064133429237
CA,Natural Gas,Petroleum,-0.38504669199966723
CA,Natural Gas,Pumped Storage,-0.43462370574164116
CA,Natural Gas,Solar,0.018640818419127323
CA,Natural Gas,Wind,0.37200209063731077
CA,Natural Gas,Wood Fuels,0.2292314610546696
CA,Nuclear,Coal,0.8984956782036724
CA,Nuclear,Geothermal,0.635480583513146
CA,Nuclear,Hydro,0.416326297511132
CA,Nuclear,Natural Gas,-0.26958535555531915
CA,Nuclear,Nuclear,1.0
CA,Nuclear,Other,-0.638829982047779
CA,Nuclear,Other Biomass,-0.616740318521496
CA,Nuclear,Other Gases,0.5503014620652783
CA,Nuclear,Petroleum,0.7843661567949599
CA,Nuclear,Pumped Storage,0.17750209272264827
CA,Nuclear,Solar,-0.8205590899214129
CA,Nuclear,Wind,-0.924069811125127
CA,Nuclear,Wood Fuels,0.30975093230590806
CA,Other,Coal,-0.7657956623247132
CA,Other,Geothermal,-0.574261406571692
CA,Other,Hydro,-0.2907922925088482
CA,Other,Natural Gas,0.607202041826757
CA,Other,Nuclear,-0.638829982047779
CA,Other,Other,1.0
CA,Other,Other Biomass,0.34620963518195363
CA,Other,Other Gases,-0.7861771184604456
CA,Other,Petroleum,-0.8065792340497836
CA,Other,Pumped Storage,-0.4404512374815526
CA,Other,Solar,0.5153837214093843
CA,Other,Wind,0.8043682664059575
CA,Other,Wood Fuels,-0.15554165756742433
CA,Other Biomass,Coal,-0.4706548607785425
CA,Other Biomass,Geothermal,-0.28619519245003844
CA,Other Biomass,Hydro,-0.2084053510061573
CA,Other Biomass,Natural Gas,0.1061339238823317
CA,Other Biomass,Nuclear,-0.616740318521496
CA,Other Biomass,Other,0.34620963518195363
CA,Other Biomass,Other Biomass,1.0
CA,Other Biomass,Other Gases,-0.06127221361148143
CA,Other Biomass,Petroleum,-0.569868789688005
CA,Other Biomass,Pumped Storage,0.07258103981707885
CA,Other Biomass,Solar,0.4853709030841037
CA,Other Biomass,Wind,0.6017282486323451
