,Year,State,Source,Percentage
366,1990,MO,Percentage Other Biomass,0.0
367,1990,MO,Percentage Other Gases,0.0
368,1990,MO,Percentage Petroleum,0.15169116620049963
369,1990,MO,Percentage Solar,0.0
370,1990,MO,Percentage Total,100.0
371,1990,MO,Percentage Wind,0.0
372,1990,MO,Percentage Wood Fuels,0.0
373,1990,MO,Percentage Total Renewable,3.6933622204703633
374,1990,MO,Percentage Renewable Including Nuclear,17.16877527154139
375,1990,MS,Percentage Coal,37.80155298410403
376,1990,MS,Percentage Geothermal,0.0
377,1990,MS,Percentage Hydro,0.0
378,1990,MS,Percentage Natural Gas,23.489409345514183
379,1990,MS,Percentage Nuclear,29.451244745483958
380,1990,MS,Percentage Other,0.0
381,1990,MS,Percentage Other Biomass,0.0
382,1990,MS,Percentage Other Gases,0.0
383,1990,MS,Percentage Petroleum,2.932259721745011
384,1990,MS,Percentage Solar,0.0
385,1990,MS,Percentage Total,100.0
386,1990,MS,Percentage Wind,0.0
387,1990,MS,Percentage Wood Fuels,6.325533203152823
388,1990,MS,Percentage Total Renewable,6.325533203152823
389,1990,MS,Percentage Renewable Including Nuclear,35.77677794863678
390,1990,MT,Percentage Coal,58.08586798224741
391,1990,MT,Percentage Geothermal,0.0
392,1990,MT,Percentage Hydro,41.1713825230586
393,1990,MT,Percentage Natural Gas,0.21227615823911175
394,1990,MT,Percentage Nuclear,0.0
395,1990,MT,Percentage Other,0.0
396,1990,MT,Percentage Other Biomass,0.0
397,1990,MT,Percentage Other Gases,0.0
398,1990,MT,Percentage Petroleum,0.11134173591685706
399,1990,MT,Percentage Solar,0.0
400,1990,MT,Percentage Total,100.0
401,1990,MT,Percentage Wind,0.0
402,1990,MT,Percentage Wood Fuels,0.4191316005380301
403,1990,MT,Percentage Total Renewable,41.59051412359663
404,1990,MT,Percentage Renewable Including Nuclear,41.59051412359663
405,1990,NC,Percentage Coal,58.66487493719074
406,1990,NC,Percentage Geothermal,0.0
407,1990,NC,Percentage Hydro,8.029868014026885
408,1990,NC,Percentage Natural Gas,0.23957982033886135
409,1990,NC,Percentage Nuclear,30.503485473378177
410,1990,NC,Percentage Other,0.2395103479018329
411,1990,NC,Percentage Other Biomass,0.03093289696164887
412,1990,NC,Percentage Other Gases,0.0
413,1990,NC,Percentage Petroleum,0.38624908739417096
414,1990,NC,Percentage Solar,0.0
415,1990,NC,Percentage Total,100.0
416,1990,NC,Percentage Wind,0.0
417,1990,NC,Percentage Wood Fuels,1.6934954499733867
418,1990,NC,Percentage Total Renewable,9.754296360961922
419,1990,NC,Percentage Renewable Including Nuclear,40.2577818343401
420,1990,ND,Percentage Coal,93.31589465978195
421,1990,ND,Percentage Geothermal,0.0
422,1990,ND,Percentage Hydro,6.339167394410035
423,1990,ND,Percentage Natural Gas,0.19102175168831953
424,1990,ND,Percentage Nuclear,0.0
425,1990,ND,Percentage Other,0.0
426,1990,ND,Percentage Other Biomass,0.0
427,1990,ND,Percentage Other Gases,0.0
428,1990,ND,Percentage Petroleum,0.1539161941197101
429,1990,ND,Percentage Solar,0.0
430,1990,ND,Percentage Total,100.0
431,1990,ND,Percentage Wind,0.0
432,1990,ND,Percentage Wood Fuels,0.0
