Year,Name,State,Percentage Coal,Percentage Geothermal,Percentage Hydro,Percentage Natural Gas,Percentage Nuclear,Percentage Other,Percentage Other Biomass,Percentage Other Gases,Percentage Petroleum,Percentage Solar,Percentage Total,Percentage Wind,Percentage Wood Fuels,Percentage Total Renewable,Percentage Renewable Including Nuclear,co2 per cap
1992,New Jersey,NJ,12.38796552,,0.051255022,33.24254843,49.45742505,,2.070787628,0.110289906,2.996460655,,100,,,2.12204265,51.57946771,14.9
1992,New Mexico,NM,90.30609377,,0.908625246,8.60256625,,,0.050332322,,0.132382415,,100,,,0.958957568,0.958957568,32.0
1992,Nevada,NV,70.42783474,5.045378865,8.504924908,14.5291391,,0.089641124,,,1.403081258,,100,,,13.55030377,13.55030377,24.9
1992,New York,NY,21.65933788,,22.27621016,21.31792488,19.17835519,,1.380309529,0.073033574,14.54498968,,100,,0.388937027,24.04545671,43.2238119,10.9
1992,Ohio,OH,88.07818103,,0.183903692,0.247153661,10.75498558,,0.253602076,0.053424435,0.187506,,100,,0.241243521,0.678749289,11.43373487,22.6
1992,Oklahoma,OK,59.99995441,,6.482566008,32.83465364,,,0.003663528,0.144741334,0.103238686,,100,,0.494902177,6.981131713,6.981131713,28.6
1992,Oregon,OR,8.742586616,,74.90436854,3.608212316,10.7983153,,0.221499992,,0.025162135,,100,0.001272866,1.698582235,76.82572363,87.62403893,11.9
1992,Pennsylvania,PA,60.82567636,,1.43675245,1.509336008,33.51774633,0.135854142,0.698062204,0.563651718,1.475984772,,100,,0.349121122,2.483935776,36.00168211,22.0
1992,Rhode Island,RI,,,0.207848985,96.39098011,,,1.333986736,,2.067184165,,100,,,1.541835721,1.541835721,12.8
1992,South Carolina,SC,31.92355738,,4.463291468,0.365615665,61.3943879,0.008125871,0.086034195,0.023404181,0.213274794,,100,,2.244289573,6.793615236,68.18800313,17.0
1992,South Dakota,SD,42.0447636,,57.82533787,0.010277897,,,,,0.119620634,,100,,,57.82533787,57.82533787,16.3
1992,Tennessee,TN,66.27513347,,12.87625737,0.354363589,20.13371077,0.102300876,0.070437723,0.004442552,0.166689578,,100,,0.558648935,13.50534403,33.6390548,21.1
1992,Texas,TX,41.8182489,,0.90879568,46.38062428,8.438525894,0.111948538,0.117347923,1.215020806,0.560869485,0.000127113,100,,0.44849138,1.474762096,9.91328799,32.2
1992,US_TOTAL,US_TOTAL,52.57029717,0.523300208,8.206798647,13.10278231,20.06484755,0.120623511,0.577714511,0.430309465,3.247665001,0.01295899,100,0.093632727,1.184502506,10.59890759,30.66375515,19.8
1992,Utah,UT,94.9329303,0.560725157,1.812382227,1.899787464,,,,0.692977816,0.101197037,,100,,,2.373107384,2.373107384,29.9
1992,Virginia,VA,46.53760161,,1.934213786,4.393232623,41.40792415,0.000858882,1.348504448,,3.287999291,1.95e-05,100,,2.269601728,5.552339482,46.96026363,15.2
1992,Vermont,VT,,,18.92137847,1.296060772,76.68347247,,,,0.055193463,,100,,3.043894819,21.96527329,98.64874577,10.7
1992,Washington,WA,11.16775756,,79.00409342,1.472857567,6.582122017,1.16e-06,0.199820937,0.270601789,0.029769053,,100,,1.272976503,80.47689086,87.05901288,15.6
1992,Wisconsin,WI,69.19940587,,4.911920527,0.776364483,22.92167199,,0.331997768,,0.317525467,,100,,1.541113902,6.785032197,29.70670418,17.3
1992,West Virginia,WV,97.59531125,,1.69114483,0.160798481,,6.65e-05,,0.231748536,0.320930383,,100,,,1.69114483,1.69114483,54.3
1992,Wyoming,WY,97.42639561,,1.496542794,0.803451174,,0.106879769,,0.020346616,0.137691637,,100,,0.008692398,1.505235192,1.505235192,131.2
1993,Alaska,AK,9.318251852,,22.77449597,55.78848918,,,0.269555206,,10.26732319,,100,,1.581884604,24.62593578,24.62593578,59.6
1993,Alabama,AL,67.78574319,,9.094506945,1.269394134,17.94228305,,0.002398905,0.340361611,0.194231764,,100,,3.371080398,12.46798625,30.4102693,29.7
1993,Arkansas,AR,44.67192416,,11.13442437,6.674940357,33.38796396,,0.073106133,,0.180566495,,100,,3.877074532,15.08460503,48.47256899,20.5
1993,Arizona,AZ,54.43661018,,9.78119933,2.828359398,32.20272606,,,,0.124789346,,100,,0.150212536,9.931411866,42.13413793,17.0
1993,California,CA,1.673854353,7.99404336,21.65484089,42.59259616,16.88891576,0.006108862,1.546149031,1.656479686,1.926129544,0.247112901,100,1.59560926,2.066856372,35.10461181,51.99352757,10.9
1993,Colorado,CO,89.66458795,,5.583620859,4.41254359,,,0.100606939,,0.026185608,,100,,,5.684227797,5.684227797,20.1
1993,Connecticut,CT,10.66858072,,1.261032111,4.208405212,66.29790609,,4.244008535,,13.33300349,,100,,,5.505040647,71.80294674,11.5
1993,District of Columbia,DC,,,,,,,,,100.0,,100,,,,,7.6
1993,Delaware,DE,59.60086186,,,11.41302419,,0.067079337,,1.144485056,27.77454955,,100,,,,,27.1
1993,Florida,FL,41.55660298,,0.138728516,13.66039181,17.03821226,1.10373799,2.03835601,0.047660777,22.8566722,,100,,1.559637452,3.736721978,20.77493424,13.9
1993,Georgia,GA,63.33573625,,4.393058361,0.686279615,26.84475511,,0.111775964,,1.121675944,,100,,3.167189681,7.672024005,34.51677912,20.1
1993,Hawaii,HI,14.87450279,1.531112152,0.565615149,,,,7.814566166,0.634251661,74.35854528,,100,0.220682731,0.000724077,10.13270028,10.13270028,16.0
1993,Iowa,IA,85.90481086,,2.331372888,1.400944859,10.09394267,,0.091310144,,0.177618574,,100,,,2.422683032,12.51662571,23.7
1993,Idaho,ID,0.373088242,,92.23474436,1.487985921,,0.710537581,0.09721427,,0.004101227,,100,,5.092328399,97.42428703,97.42428703,11.2
1993,Illinois,IL,42.86440576,,0.090757194,1.482443484,54.63350943,,0.174993789,0.241987815,0.51172965,,100,,0.000172879,0.265923862,54.89943329,17.3
1993,Indiana,IN,96.18065352,,0.432671784,0.940412701,,,0.031315634,2.055730364,0.359216003,,100,,,0.463987417,0.463987417,35.6
1993,Kansas,KS,72.93901104,,0.01356737,5.286658387,21.4997036,,,,0.260901749,,100,0.000157855,,0.013725225,21.51342882,27.9
